CRC,Size (Bytes),Frame ID (Type),Sequential ID,RTC Send Datetime,RTC Log Datetime,Driver ID,Events Group,BMS-1 Voltage (Volt),BMS-1 Current (Ampere),BMS-2 Voltage (Volt),BMS-2 Current (Ampere),GPS Longitude,GPS Latitude,GPS HDOP,GPS Heading (Degree),Vehicle Speed (Km/hr),Odometer (Km),Signal Quality (%),Battery Voltage (mVolt),Range Approximation (Km),Battery Efficiency (Km/kWh),Trip A (Km),Trip B (Km),BMS-1 SoC (%),BMS-1 Temperature (Celcius),BMS-2 SoC (%),BMS-2 Temperature (Celcius)
7C802347,83,2 (Full),4.654,"Fri, 02 Oct 2020, 15:47:46","Fri, 02 Oct 2020, 15:46:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4336192,2,0,0,5.010,67,3.816,235,21,0,0,0,0.00,0,0.00
2BC2C3B4,83,2 (Full),4.655,"Fri, 02 Oct 2020, 15:47:48","Fri, 02 Oct 2020, 15:46:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336232,2,0,1,5.010,67,3.798,232,24,0,0,0,0.00,0,0.00
36051924,83,2 (Full),4.656,"Fri, 02 Oct 2020, 15:47:51","Fri, 02 Oct 2020, 15:46:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336184,2,0,0,5.010,67,3.798,229,27,0,0,0,0.00,0,0.00
CE27C259,83,2 (Full),4.657,"Fri, 02 Oct 2020, 15:47:57","Fri, 02 Oct 2020, 15:46:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4336112,2,0,0,5.010,67,3.780,226,30,0,0,0,0.00,0,0.00
D74E5830,83,2 (Full),4.658,"Fri, 02 Oct 2020, 15:47:59","Fri, 02 Oct 2020, 15:46:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4335992,2,0,0,5.010,64,3.798,223,33,0,0,0,0.00,0,0.00
A4298E2A,83,2 (Full),4.659,"Fri, 02 Oct 2020, 15:48:05","Fri, 02 Oct 2020, 15:46:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335928,2,0,0,5.010,64,3.816,220,36,0,0,0,0.00,0,0.00
FEEDC0C5,83,2 (Full),4.660,"Fri, 02 Oct 2020, 15:48:07","Fri, 02 Oct 2020, 15:46:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335944,2,0,0,5.010,67,3.762,217,39,0,0,0,0.00,0,0.00
8FAA3F13,83,2 (Full),4.661,"Fri, 02 Oct 2020, 15:48:11","Fri, 02 Oct 2020, 15:46:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335968,2,0,0,5.010,64,3.780,214,42,0,0,0,0.00,0,0.00
AF0773C4,83,2 (Full),4.662,"Fri, 02 Oct 2020, 15:48:13","Fri, 02 Oct 2020, 15:46:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.433596,2,0,0,5.010,67,3.780,211,45,0,0,0,0.00,0,0.00
6F15ED74,83,2 (Full),4.663,"Fri, 02 Oct 2020, 15:48:16","Fri, 02 Oct 2020, 15:46:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335944,2,0,0,5.010,67,3.780,208,48,0,0,0,0.00,0,0.00
C7665106,83,2 (Full),4.664,"Fri, 02 Oct 2020, 15:48:21","Fri, 02 Oct 2020, 15:46:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335928,2,0,0,5.010,64,3.816,205,51,0,0,0,0.00,0,0.00
0D63D644,83,2 (Full),4.665,"Fri, 02 Oct 2020, 15:48:24","Fri, 02 Oct 2020, 15:46:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335896,2,0,0,5.010,64,3.798,202,54,0,0,0,0.00,0,0.00
9088927B,83,2 (Full),4.666,"Fri, 02 Oct 2020, 15:48:29","Fri, 02 Oct 2020, 15:46:50",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4335936,2,0,0,5.010,64,3.798,199,57,0,0,0,0.00,0,0.00
59617C9E,83,2 (Full),4.667,"Fri, 02 Oct 2020, 15:48:31","Fri, 02 Oct 2020, 15:46:53",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336016,2,0,0,5.010,64,3.780,196,60,0,0,0,0.00,0,0.00
9680C221,83,2 (Full),4.668,"Fri, 02 Oct 2020, 15:48:36","Fri, 02 Oct 2020, 15:46:56",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336016,2,0,0,5.010,58,3.798,193,63,0,0,0,0.00,0,0.00
51C3FF7B,83,2 (Full),4.669,"Fri, 02 Oct 2020, 15:48:39","Fri, 02 Oct 2020, 15:46:59",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4336016,2,0,0,5.010,67,3.744,190,66,0,0,0,0.00,0,0.00
BE5DDE29,83,2 (Full),4.670,"Fri, 02 Oct 2020, 15:48:41","Fri, 02 Oct 2020, 15:47:02",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4335992,2,0,0,5.010,70,3.816,187,69,0,0,0,0.00,0,0.00
0B1B513C,83,2 (Full),4.671,"Fri, 02 Oct 2020, 15:48:43","Fri, 02 Oct 2020, 15:47:05",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933888,-7.4336352,2,0,4,5.010,70,3.798,184,72,0,0,0,0.00,0,0.00
016AF957,83,2 (Full),4.672,"Fri, 02 Oct 2020, 15:48:46","Fri, 02 Oct 2020, 15:47:08",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,64,3.798,181,75,0,0,0,0.00,0,0.00
85ABDC6F,83,2 (Full),4.673,"Fri, 02 Oct 2020, 15:48:48","Fri, 02 Oct 2020, 15:47:11",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.780,178,78,0,0,0,0.00,0,0.00
75137A17,83,2 (Full),4.674,"Fri, 02 Oct 2020, 15:48:51","Fri, 02 Oct 2020, 15:47:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.762,175,81,0,0,0,0.00,0,0.00
50689789,83,2 (Full),4.675,"Fri, 02 Oct 2020, 15:48:53","Fri, 02 Oct 2020, 15:47:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,64,3.798,172,84,0,0,0,0.00,0,0.00
7EA79BAE,83,2 (Full),4.676,"Fri, 02 Oct 2020, 15:48:56","Fri, 02 Oct 2020, 15:47:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.69344,-7.4336448,2,0,0,5.010,70,3.816,169,87,0,0,0,0.00,0,0.00
9BB0942F,83,2 (Full),4.677,"Fri, 02 Oct 2020, 15:49:01","Fri, 02 Oct 2020, 15:47:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4336376,2,0,0,5.010,67,3.798,166,90,0,0,0,0.00,0,0.00
4E0B3A2E,83,2 (Full),4.678,"Fri, 02 Oct 2020, 15:49:03","Fri, 02 Oct 2020, 15:47:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693376,-7.4336336,2,0,0,5.010,70,3.798,163,93,0,0,0,0.00,0,0.00
301DDEE9,83,2 (Full),4.679,"Fri, 02 Oct 2020, 15:49:09","Fri, 02 Oct 2020, 15:47:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933504,-7.43362,2,0,2,5.010,67,3.816,160,96,0,0,0,0.00,0,0.00
E352E3AF,83,2 (Full),4.680,"Fri, 02 Oct 2020, 15:49:11","Fri, 02 Oct 2020, 15:47:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933248,-7.4336256,2,0,1,5.010,70,3.780,157,99,0,0,0,0.00,0,0.00
378AE268,83,2 (Full),4.681,"Fri, 02 Oct 2020, 15:49:16","Fri, 02 Oct 2020, 15:47:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933248,-7.433616,2,0,0,5.010,70,3.798,154,102,0,0,0,0.00,0,0.00
453233FB,83,2 (Full),4.682,"Fri, 02 Oct 2020, 15:49:19","Fri, 02 Oct 2020, 15:47:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933504,-7.4336032,2,0,0,5.010,64,3.798,151,105,0,0,0,0.00,0,0.00
5C03F24C,83,2 (Full),4.683,"Fri, 02 Oct 2020, 15:49:23","Fri, 02 Oct 2020, 15:47:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934016,-7.4335712,2,0,3,5.010,70,3.798,148,108,0,0,0,0.00,0,0.00
21B67960,83,2 (Full),4.684,"Fri, 02 Oct 2020, 15:49:25","Fri, 02 Oct 2020, 15:47:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934272,-7.4335744,2,0,0,5.010,64,3.798,145,111,0,0,0,0.00,0,0.00
5C6B552A,83,2 (Full),4.685,"Fri, 02 Oct 2020, 15:49:28","Fri, 02 Oct 2020, 15:47:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6934528,-7.4335712,2,0,1,5.010,74,3.762,142,114,0,0,0,0.00,0,0.00
26776090,83,2 (Full),4.686,"Fri, 02 Oct 2020, 15:49:33","Fri, 02 Oct 2020, 15:47:50",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.780,139,117,0,0,0,0.00,0,0.00
9B71EAAE,83,2 (Full),4.687,"Fri, 02 Oct 2020, 15:49:36","Fri, 02 Oct 2020, 15:47:53",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6935168,-7.4335696,2,0,4,5.010,67,3.780,136,120,0,0,0,0.00,0,0.00
2E6E15D7,83,2 (Full),4.688,"Fri, 02 Oct 2020, 15:49:41","Fri, 02 Oct 2020, 15:47:56",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6936448,-7.433616,2,116,10,5.010,67,3.780,133,123,0,0,0,0.00,0,0.00
22F981B8,83,2 (Full),4.689,"Fri, 02 Oct 2020, 15:49:46","Fri, 02 Oct 2020, 15:47:59",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6938112,-7.4336792,2,110,14,5.010,83,3.798,130,126,0,0,0,0.00,0,0.00
4EEB9292,83,2 (Full),4.690,"Fri, 02 Oct 2020, 15:49:48","Fri, 02 Oct 2020, 15:48:02",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,83,3.780,127,129,0,0,0,0.00,0,0.00
7ADC7DA6,83,2 (Full),4.691,"Fri, 02 Oct 2020, 15:49:51","Fri, 02 Oct 2020, 15:48:05",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,77,3.798,124,132,0,0,0,0.00,0,0.00
07D03C8C,83,2 (Full),4.692,"Fri, 02 Oct 2020, 15:49:53","Fri, 02 Oct 2020, 15:48:08",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,74,3.798,121,135,0,0,0,0.00,0,0.00
8AE89377,83,2 (Full),4.693,"Fri, 02 Oct 2020, 15:49:59","Fri, 02 Oct 2020, 15:48:11",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,64,3.798,118,138,0,0,0,0.00,0,0.00
AFCE948E,83,2 (Full),4.694,"Fri, 02 Oct 2020, 15:50:01","Fri, 02 Oct 2020, 15:48:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,0,0,20,0,0,5.010,67,3.798,115,141,0,0,0,0.00,0,0.00
D7EC6128,83,2 (Full),4.695,"Fri, 02 Oct 2020, 15:50:05","Fri, 02 Oct 2020, 15:48:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6937472,-7.433564,2,0,4,5.010,61,3.798,112,144,0,0,0,0.00,0,0.00
41989B45,83,2 (Full),4.696,"Fri, 02 Oct 2020, 15:50:08","Fri, 02 Oct 2020, 15:48:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6937088,-7.4335,2,0,4,5.010,61,3.798,109,147,0,0,0,0.00,0,0.00
BFB12FCB,83,2 (Full),4.697,"Fri, 02 Oct 2020, 15:50:12","Fri, 02 Oct 2020, 15:48:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693632,-7.433484,2,0,1,5.010,77,3.798,106,150,0,0,0,0.00,0,0.00
16A2333B,83,2 (Full),4.698,"Fri, 02 Oct 2020, 15:50:15","Fri, 02 Oct 2020, 15:48:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6936064,-7.4334432,2,0,2,5.010,77,3.798,103,153,0,0,0,0.00,0,0.00
CFF2CBDA,83,2 (Full),4.699,"Fri, 02 Oct 2020, 15:50:18","Fri, 02 Oct 2020, 15:48:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.693568,-7.433424,2,0,4,5.010,74,3.798,100,156,0,0,0,0.00,0,0.00
D2279C0B,83,2 (Full),4.700,"Fri, 02 Oct 2020, 15:50:21","Fri, 02 Oct 2020, 15:48:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6935552,-7.4333536,2,8,7,5.010,77,3.798,97,159,0,0,0,0.00,0,0.00
405A9E1C,83,2 (Full),4.701,"Fri, 02 Oct 2020, 15:50:23","Fri, 02 Oct 2020, 15:48:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6935168,-7.4331808,2,350,16,5.010,77,3.780,94,162,0,0,0,0.00,0,0.00
3C9DBFD9,83,2 (Full),4.702,"Fri, 02 Oct 2020, 15:50:26","Fri, 02 Oct 2020, 15:48:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933632,-7.4328656,2,336,35,5.010,70,3.798,91,165,0,0,0,0.00,0,0.00
420BABEE,83,2 (Full),4.703,"Fri, 02 Oct 2020, 15:50:28","Fri, 02 Oct 2020, 15:48:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6932608,-7.4325624,2,336,39,5.010,67,3.798,88,168,0,0,0,0.00,0,0.00
5850E791,83,2 (Full),4.704,"Fri, 02 Oct 2020, 15:50:34","Fri, 02 Oct 2020, 15:48:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6931328,-7.4322632,2,338,40,5.010,67,3.798,85,171,0,0,0,0.00,0,0.00
0DF9F7CB,83,2 (Full),4.705,"Fri, 02 Oct 2020, 15:50:36","Fri, 02 Oct 2020, 15:48:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6930048,-7.4319904,2,338,37,5.010,70,3.762,82,174,0,0,0,0.00,0,0.00
A4A3FB21,83,2 (Full),4.706,"Fri, 02 Oct 2020, 15:50:42","Fri, 02 Oct 2020, 15:48:50",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6929024,-7.4316984,2,340,38,5.010,74,3.780,79,177,0,0,0,0.00,0,0.00
FBF5066B,83,2 (Full),4.707,"Fri, 02 Oct 2020, 15:50:44","Fri, 02 Oct 2020, 15:48:53",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6928256,-7.4314896,2,342,31,5.010,74,3.798,76,180,0,0,0,0.00,0,0.00
68A5A5ED,83,2 (Full),4.708,"Fri, 02 Oct 2020, 15:50:46","Fri, 02 Oct 2020, 15:48:56",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6927872,-7.4312976,2,348,26,5.010,74,3.744,73,183,0,0,0,0.00,0,0.00
AFF4A805,83,2 (Full),4.709,"Fri, 02 Oct 2020, 15:50:49","Fri, 02 Oct 2020, 15:48:59",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.692736,-7.4312008,2,350,17,5.010,74,3.798,70,186,0,0,0,0.00,0,0.00
AC54469E,83,2 (Full),4.710,"Fri, 02 Oct 2020, 15:50:51","Fri, 02 Oct 2020, 15:49:02",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6927104,-7.4310496,2,352,18,5.010,93,3.798,67,189,0,0,0,0.00,0,0.00
4137B8A2,83,2 (Full),4.711,"Fri, 02 Oct 2020, 15:50:57","Fri, 02 Oct 2020, 15:49:05",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6927104,-7.4309624,2,8,12,5.010,87,3.780,64,192,0,0,0,0.00,0,0.00
67144339,83,2 (Full),4.712,"Fri, 02 Oct 2020, 15:50:59","Fri, 02 Oct 2020, 15:49:08",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6927232,-7.4309672,2,84,12,5.010,93,3.780,61,195,0,0,0,0.00,0,0.00
D9C08AD8,83,2 (Full),4.713,"Fri, 02 Oct 2020, 15:51:04","Fri, 02 Oct 2020, 15:49:11",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6927616,-7.431068,2,132,18,5.010,87,3.744,58,198,0,0,0,0.00,0,0.00
D7981F81,83,2 (Full),4.714,"Fri, 02 Oct 2020, 15:51:09","Fri, 02 Oct 2020, 15:49:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6928256,-7.4312504,2,148,25,5.010,87,3.744,55,201,0,0,0,0.00,0,0.00
BF8F165D,83,2 (Full),4.715,"Fri, 02 Oct 2020, 15:51:18","Fri, 02 Oct 2020, 15:49:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6928896,-7.4315632,2,158,37,5.010,77,3.798,52,204,0,0,0,0.00,0,0.00
C8EBB31D,83,2 (Full),4.716,"Fri, 02 Oct 2020, 15:51:20","Fri, 02 Oct 2020, 15:49:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6929792,-7.4319512,2,158,48,5.010,70,3.798,49,207,0,0,0,0.00,0,0.00
262B7896,83,2 (Full),4.717,"Fri, 02 Oct 2020, 15:51:22","Fri, 02 Oct 2020, 15:49:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6931456,-7.4323528,2,156,56,5.010,67,3.780,46,210,0,0,0,0.00,0,0.00
35269248,83,2 (Full),4.718,"Fri, 02 Oct 2020, 15:51:24","Fri, 02 Oct 2020, 15:49:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6933504,-7.4327344,2,152,57,5.010,70,3.780,43,213,0,0,0,0.00,0,0.00
E4F36247,83,2 (Full),4.719,"Fri, 02 Oct 2020, 15:51:27","Fri, 02 Oct 2020, 15:49:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6935296,-7.4331168,2,150,58,5.010,70,3.798,40,216,0,0,0,0.00,0,0.00
135BFCB5,83,2 (Full),4.720,"Fri, 02 Oct 2020, 15:51:29","Fri, 02 Oct 2020, 15:49:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.69376,-7.4334624,2,146,57,5.010,70,3.798,37,219,0,0,0,0.00,0,0.00
AB81B158,83,2 (Full),4.721,"Fri, 02 Oct 2020, 15:51:33","Fri, 02 Oct 2020, 15:49:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6939904,-7.4338144,2,146,55,5.010,61,3.780,34,222,0,0,0,0.00,0,0.00
6FE0E1A1,83,2 (Full),4.722,"Fri, 02 Oct 2020, 15:51:35","Fri, 02 Oct 2020, 15:49:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.694208,-7.4341768,2,146,55,5.010,61,3.798,31,225,0,0,0,0.00,0,0.00
A5C99D45,83,2 (Full),4.723,"Fri, 02 Oct 2020, 15:51:38","Fri, 02 Oct 2020, 15:49:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.6944384,-7.4345184,2,144,54,5.010,48,3.798,28,228,0,0,0,0.00,0,0.00
A742CF69,83,2 (Full),4.775,"Fri, 02 Oct 2020, 15:59:49","Fri, 02 Oct 2020, 15:52:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.700224,-7.4472288,2,118,33,5.012,80,3.852,128,128,0,0,0,0.00,0,0.00
2F896BB7,83,2 (Full),4.776,"Fri, 02 Oct 2020, 15:59:53","Fri, 02 Oct 2020, 15:52:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7004672,-7.447388,2,122,36,5.012,80,3.870,125,131,0,0,0,0.00,0,0.00
2FF2BACB,83,2 (Full),4.777,"Fri, 02 Oct 2020, 15:59:55","Fri, 02 Oct 2020, 15:52:23",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7007232,-7.4475584,2,124,37,5.012,80,3.870,122,134,0,0,0,0.00,0,0.00
7AB358A1,83,2 (Full),4.778,"Fri, 02 Oct 2020, 15:59:57","Fri, 02 Oct 2020, 15:52:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7010176,-7.4477624,2,126,40,5.012,80,3.852,119,137,0,0,0,0.00,0,0.00
F5DF1492,83,2 (Full),4.779,"Fri, 02 Oct 2020, 15:59:59","Fri, 02 Oct 2020, 15:52:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.701312,-7.447936,2,118,43,5.012,67,3.852,116,140,0,0,0,0.00,0,0.00
DDD8C941,83,2 (Full),4.780,"Fri, 02 Oct 2020, 16:00:01","Fri, 02 Oct 2020, 15:52:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.70176,-7.4480928,2,110,52,5.012,67,3.798,113,143,0,0,0,0.00,0,0.00
B858FE43,83,2 (Full),4.781,"Fri, 02 Oct 2020, 16:00:03","Fri, 02 Oct 2020, 15:52:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7021696,-7.448228,2,108,52,5.012,67,3.798,110,146,0,0,0,0.00,0,0.00
831C161C,83,2 (Full),4.782,"Fri, 02 Oct 2020, 16:00:05","Fri, 02 Oct 2020, 15:52:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7025536,-7.4483688,2,110,51,5.012,67,3.852,107,149,0,0,0,0.00,0,0.00
43826B0E,83,2 (Full),4.783,"Fri, 02 Oct 2020, 16:00:07","Fri, 02 Oct 2020, 15:52:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7029632,-7.4484832,2,104,52,5.012,67,3.852,104,152,0,0,0,0.00,0,0.00
0BA70F36,83,2 (Full),4.784,"Fri, 02 Oct 2020, 16:00:13","Fri, 02 Oct 2020, 15:52:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.70336,-7.4485656,2,100,50,5.012,67,3.870,101,155,0,0,0,0.00,0,0.00
96D84729,83,2 (Full),4.785,"Fri, 02 Oct 2020, 16:00:16","Fri, 02 Oct 2020, 15:52:47",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7037312,-7.4486208,2,96,47,5.012,67,3.852,98,158,0,0,0,0.00,0,0.00
79A3EBD1,83,2 (Full),4.786,"Fri, 02 Oct 2020, 16:00:19","Fri, 02 Oct 2020, 15:52:50",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7040512,-7.4486224,2,88,40,5.012,67,3.870,95,161,0,0,0,0.00,0,0.00
068F3B95,83,2 (Full),4.787,"Fri, 02 Oct 2020, 16:00:22","Fri, 02 Oct 2020, 15:52:53",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.704256,-7.4486368,2,90,26,5.012,93,3.762,92,164,0,0,0,0.00,0,0.00
B05788E6,83,2 (Full),4.788,"Fri, 02 Oct 2020, 16:00:24","Fri, 02 Oct 2020, 15:52:56",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7044096,-7.4486984,2,108,20,5.012,93,3.780,89,167,0,0,0,0.00,0,0.00
631B3064,83,2 (Full),4.789,"Fri, 02 Oct 2020, 16:00:27","Fri, 02 Oct 2020, 15:52:59",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7045888,-7.4488016,2,120,24,5.012,93,3.798,86,170,0,0,0,0.00,0,0.00
7FEB6C30,83,2 (Full),4.790,"Fri, 02 Oct 2020, 16:00:29","Fri, 02 Oct 2020, 15:53:02",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7047936,-7.4488576,2,106,27,5.012,93,3.852,83,173,0,0,0,0.00,0,0.00
81C8CFF0,83,2 (Full),4.791,"Fri, 02 Oct 2020, 16:00:32","Fri, 02 Oct 2020, 15:53:05",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7050368,-7.4489032,2,100,29,5.012,93,3.798,80,176,0,0,0,0.00,0,0.00
FF810953,83,2 (Full),4.792,"Fri, 02 Oct 2020, 16:00:34","Fri, 02 Oct 2020, 15:53:08",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7053184,-7.4489544,2,100,33,5.012,93,3.798,77,179,0,0,0,0.00,0,0.00
1D989997,83,2 (Full),4.793,"Fri, 02 Oct 2020, 16:00:38","Fri, 02 Oct 2020, 15:53:11",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7056768,-7.4490328,2,100,40,5.012,93,3.798,74,182,0,0,0,0.00,0,0.00
D90AE780,83,2 (Full),4.794,"Fri, 02 Oct 2020, 16:00:44","Fri, 02 Oct 2020, 15:53:14",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7060352,-7.4491128,2,100,44,5.012,0,3.834,71,185,0,0,0,0.00,0,0.00
34C09CED,83,2 (Full),4.795,"Fri, 02 Oct 2020, 16:00:48","Fri, 02 Oct 2020, 15:53:17",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7064448,-7.4491888,2,100,47,5.012,0,3.852,68,188,0,0,0,0.00,0,0.00
8E25F1C7,83,2 (Full),4.796,"Fri, 02 Oct 2020, 16:00:51","Fri, 02 Oct 2020, 15:53:20",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.706688,-7.449236,2,102,31,5.012,0,3.852,65,191,0,0,0,0.00,0,0.00
C2763C24,83,2 (Full),4.797,"Fri, 02 Oct 2020, 16:00:54","Fri, 02 Oct 2020, 15:53:23",NONE,0000000000000061,0.00,0.00,0.00,0.00,112.7067904,-7.4492576,2,100,13,5.012,0,3.852,62,194,0,0,0,0.00,0,0.00
9CA2DFC2,83,2 (Full),4.798,"Fri, 02 Oct 2020, 16:00:56","Fri, 02 Oct 2020, 15:53:26",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7069952,-7.4492928,2,98,23,5.012,0,3.852,59,197,0,0,0,0.00,0,0.00
116695F3,83,2 (Full),4.799,"Fri, 02 Oct 2020, 16:00:59","Fri, 02 Oct 2020, 15:53:29",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.707264,-7.4493464,2,100,33,5.012,0,3.744,56,200,0,0,0,0.00,0,0.00
C0989F4B,83,2 (Full),4.800,"Fri, 02 Oct 2020, 16:01:02","Fri, 02 Oct 2020, 15:53:32",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7076224,-7.4494128,2,100,43,5.012,0,3.726,53,203,0,0,0,0.00,0,0.00
640F3023,83,2 (Full),4.801,"Fri, 02 Oct 2020, 16:01:04","Fri, 02 Oct 2020, 15:53:35",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7080192,-7.4494728,2,98,48,5.013,0,3.744,50,206,0,0,0,0.00,0,0.00
2B8F31A9,83,2 (Full),4.802,"Fri, 02 Oct 2020, 16:01:07","Fri, 02 Oct 2020, 15:53:38",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7084288,-7.4495488,2,100,53,5.013,80,3.852,47,209,0,0,0,0.00,0,0.00
065079D5,83,2 (Full),4.803,"Fri, 02 Oct 2020, 16:01:10","Fri, 02 Oct 2020, 15:53:41",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.708864,-7.4496336,2,100,55,5.013,70,3.834,44,212,0,0,0,0.00,0,0.00
EF7B151A,83,2 (Full),4.804,"Fri, 02 Oct 2020, 16:01:12","Fri, 02 Oct 2020, 15:53:44",NONE,0000000000000060,0.00,0.00,0.00,0.00,112.7093248,-7.4497296,2,102,58,5.013,77,3.726,41,215,0,0,0,0.00,0,0.00
